num_critic_for_reviews,duration,actor_3_fb_likes,actor_1_fb_likes,num_voted_users,cast_total_fb_likes,facenumber_in_poster,num_user_for_reviews,actor_2_fb_likes,imdb_score,movie_fb_likes
723.0,178.0,855.0,1000.0,886204,4834,0.0,3054.0,936.0,7.9,33000
302.0,169.0,1000.0,40000.0,471220,48350,0.0,1238.0,5000.0,7.1,0
602.0,148.0,161.0,11000.0,275868,11700,1.0,994.0,393.0,6.8,85000
813.0,164.0,23000.0,27000.0,1144337,106759,0.0,2701.0,23000.0,8.5,164000
462.0,132.0,530.0,640.0,212204,1873,1.0,738.0,632.0,6.6,24000
392.0,156.0,4000.0,24000.0,383056,46055,0.0,1902.0,11000.0,6.2,0
324.0,100.0,284.0,799.0,294810,2036,1.0,387.0,553.0,7.8,29000
635.0,141.0,19000.0,26000.0,462669,92000,4.0,1117.0,21000.0,7.5,118000
375.0,153.0,10000.0,25000.0,321795,58753,3.0,973.0,11000.0,7.5,10000
673.0,183.0,2000.0,15000.0,371639,24450,0.0,3018.0,4000.0,6.9,197000
434.0,169.0,903.0,18000.0,240396,29991,0.0,2367.0,10000.0,6.1,0
403.0,106.0,393.0,451.0,330784,2023,1.0,1243.0,412.0,6.7,0
313.0,151.0,1000.0,40000.0,522040,48486,2.0,1832.0,5000.0,7.3,5000
450.0,150.0,1000.0,40000.0,181792,45757,1.0,711.0,2000.0,6.5,48000
733.0,143.0,748.0,15000.0,548573,20495,0.0,2536.0,3000.0,7.2,118000
258.0,150.0,201.0,22000.0,149922,22697,4.0,438.0,216.0,6.6,0
703.0,173.0,19000.0,26000.0,995415,87697,3.0,1722.0,21000.0,8.1,123000
448.0,136.0,1000.0,40000.0,370704,54083,4.0,484.0,11000.0,6.7,58000
451.0,106.0,718.0,10000.0,268154,12572,1.0,341.0,816.0,6.8,40000
422.0,164.0,773.0,5000.0,354228,9152,0.0,802.0,972.0,7.5,65000
599.0,153.0,963.0,15000.0,451803,28489,0.0,1225.0,10000.0,7.0,56000
343.0,156.0,738.0,891.0,211765,3244,0.0,546.0,882.0,6.7,17000
509.0,186.0,773.0,5000.0,483540,9152,6.0,951.0,972.0,7.9,83000
251.0,113.0,1000.0,16000.0,149019,24106,2.0,666.0,6000.0,6.1,0
446.0,201.0,84.0,6000.0,316018,7123,0.0,2618.0,919.0,7.2,0
315.0,194.0,794.0,29000.0,793059,45223,0.0,2528.0,14000.0,7.7,26000
516.0,147.0,11000.0,21000.0,272670,64798,0.0,1022.0,19000.0,8.2,72000
377.0,131.0,627.0,14000.0,202382,26679,0.0,751.0,10000.0,5.9,44000
644.0,124.0,1000.0,3000.0,418214,8458,0.0,1290.0,2000.0,7.0,150000
750.0,143.0,393.0,883.0,522030,2039,0.0,1498.0,563.0,7.8,80000
300.0,135.0,4000.0,24000.0,411164,43388,1.0,1303.0,11000.0,7.3,0
608.0,195.0,3000.0,21000.0,557489,30426,3.0,1187.0,4000.0,7.2,95000
451.0,108.0,11000.0,40000.0,306320,79957,0.0,736.0,25000.0,6.5,24000
334.0,104.0,560.0,20000.0,383427,21714,0.0,1912.0,808.0,6.8,0
